,Unnamed: 0,Paragraph,Class,Prediction
15,15,"Several techniques are used to solve the separation of azeotropic mixtures containing water,
ethyl acetate, and ethanol, for example, azeotropic distillation, pressure swing distillation, and extractive
distillation. All these techniques are well known and the latest knowledge in this ﬁeld including
heat integration [8], thermal coupling [9], dividing wall columns [10], pervaporation modules [11,12],
use of a new class of solvents (ionic liquids) [13,14] can be applied eﬀectively. Although the separation
of azeotropic mixtures is possible, high energy consumption and a high number of devices should
be expected.",0,process
16,16,"To overcome distillation boundaries and reduce energy demands and the number of equipment
units, reactive distillation (RD) can be used [6]. The concept of RD combining simultaneous chemical
reaction and separation in one unit has shown great potential in the production of esters [15,16].
Industrial-scale plants combining a reactive distillation column with a separation unit can be found all
over the world [16,17]. However, even though RD itself has brought beneﬁts compared to conventional
production processes, it still shows potential for intensiﬁcation. Taking RD to the next level of
process intensiﬁcation requires more advanced RD conﬁgurations allowing an additional range of
operating conditions (not available in classic RD setups) [16]. Improvements can be achieved by
physical, chemical, or mechanical methods [4,18]. Physical methods are based on improving the
separation of reactive distillation products by adding a selective solvent (azeotropic reactive distillation
(ARD), reactive extractive distillation (RED)), or by changing operation conditions (pressure-swing
RD). The production of 2-phenylethyl acetate via azeotropic reactive distillation can be listed as
an illustrative example [19]. Employing an auxiliary chemical reaction in the RD system is used as the
chemical path of intensiﬁcation. One by-product of the main reaction is consumed by the auxiliary
reaction; another valuable product can be obtained. Reactive distillation with an auxiliary reaction
(RDAR) is a very innovative method that can improve the main reaction and separation at the same
time [4,20]. Mechanical ways of RD intensiﬁcation are focused on the use of special internal equipment
of columns to ease the separation (reactive distillation with a dividing wall (RDWC) and reactive
distillation with pervaporation (RDPV)); which intensify the chemical reaction (special catalyst beds in
case of a heterogeneous catalyst) [4]. Special attention is given to integrated columns with strippers
(RDS), recompression of superheated vapor, etc. [18,21].",0,process
17,17,1.1. Current Ethyl Acetate Production Methods,0,process
18,18,"Usually, the esteriﬁcation reaction of acetic acid by ethanol is used to form ethyl acetate. The process
composed of a continuous stirred tank reactor (CSTR) and several separation columns is reported
as the most widespread ethyl acetate commercial production method [15]. At least three distillation
columns are needed to separate the reaction mixture from the CSTR. First, unreacted acetic acid has
to be regenerated—this separation is a high energy-consuming [4,15] and azeotropic distillation is
recommended to reduce energy consumption in the ﬁrst column [17]. One of the process products
(ethyl acetate) is used as an azeotropic agent. A decanter has to be deployed to overcome the distillation
boundary and thus allow separation of pure ethyl acetate in a second distillation column. The third
column is usually used for water regeneration. Despite several options for columns and recycles
integration, this process is energy-intensive [5]. Moreover, large recycles are used due to the distillation
boundary and the equipment has also to be relatively large. Reactive distillation is used as the
second method for ethyl acetate industrial production [16]. RD column, decanter, and two distillation
columns are employed. A water-ethanol-ethyl acetate azeotropic mixture is obtained in the RD column
and it is then separated in a similar way as in the conventional method. However, many other RD
conﬁgurations have been tested at a laboratory scale, including all three of the above-mentioned",0,process
19,19,"Processes 2020, 8, 1618",0,process
20,20,3 of 32,0,process
21,21,"ways of improvement and intensiﬁcation [4]. The research has been mainly focused on RDWC [22];
RDAR [23,24]; RDS [4,18], and RED [25]. However, so far, only a classic RD column with a separation
unit is used at the industrial scale. This is mainly due to the simplicity of design and control of this
approach compared to integrated RD conﬁgurations [15,16]. However, with the advancement of
process regulation and production design, it is clear that many production lines will be transformed
into fully integrated RD processes [16,22] in the future.",0,process
22,22,1.2. Methodology,0,process
23,23,"The main goal of this paper is the comparison of selected ethyl acetate production pathways
and to point out the possibility of further reactive distillation process integration and sophisticated
intensiﬁcation including process stream regeneration. Three diﬀerent points of view were applied
to evaluate the selected process’s pros and cons. Process energy, economy, and safety are assessed.
Comprehensive research has been accomplished to select case studies demonstrating more levels of
process integration and intensiﬁcation [4,16]. The production pathways have been selected with respect
to their practical applicability (both present and future), to suﬃcient experimental and feasibility studies
already published, and the intensiﬁcation of reactive distillation via chemical and mechanical methods.
As the base case study, a conventional process from [15,17] was adopted. Operation sequence according
to Riemenschneider [1] consists of a continuous stirred tank reactor (CSTR) and several separation
columns. A classic reactive distillation process design was used as the second case study because of its
present practical industrial applicability [4]. Mechanical modiﬁcation of RD is represented by the third
case study where an RD column with a stripper (RDS) is used. The RDS process set-up is well known
in the petrochemical industry. In the fourth case study, an auxiliary chemical reaction is included
as a chemical modiﬁcation of RD. Hydration of ethylene oxide is proposed as the auxiliary reaction.
With this intensiﬁcation method, ethyl acetate–water azeotrope is removed and pure ethyl acetate is
separated at the top of the RD column [23]. In addition, another valuable product (monoethylene
glycol) is obtained when the auxiliary reaction is included.",0,process
24,24,"Process modeling was performed using the Aspen Plus software [26]. Reliable and complex
models were compiled to evaluate and compare individual case studies. An important beneﬁt of this
work is the detailed design of all case studies including the rigorous non-equilibrium stage (NEQ)
model of reactive distillation and separation columns. More accurate results are expected when using
the NEQ model contrary to works where only the equilibrium stage model (EQ) is used [18–20]. Muthia
(2018) has proved that the reactive distillation EQ model is useful in the process feasibility analysis [27].
However, RD partial processes can be overestimated by this model; namely separation eﬃciency and
chemical reaction rate. In the EQ model, the separation eﬃciency has to be estimated and thus it can
be overestimated as well as underestimated.",0,process
25,25,"The chemical reaction rate is inﬂuenced by mass transfer; therefore it can be signiﬁcantly
overestimated [16,22]. Consequently, the equipment size is estimated incorrectly, and the energy
consumption is often underestimated [28,29]. Therefore, the NEQ model should be preferred when
assessing the economy and safety aspects [30,31].",0,process
26,26,"Processes with uneven yield and poor recovery design have been compared previously [15,32].
Conclusions from these results have been confused because of incomplete process material balance
and comparison of incomplete design of process schemes. Therefore, recycling of process streams
and uniﬁcation of case studies inlet and outlet streams have been included in this paper. With this
improvement, reproducible comparison of individual case studies is achieved; ethyl acetate yield and
water recovery problems are solved.",0,process
27,27,1.3. Process Sustainability Indicators,0,process
28,28,"To evaluate the process eﬃciency and compare it with other alternatives, several indicators,
which consider energy, economy, and safety aspects of all selected process alternatives, are used.
A summary of evaluated indicators provides better insight into process sustainability.",0,process
29,29,"Processes 2020, 8, 1618",0,process
30,30,4 of 32,0,process
31,31,"Energy requirements of processes can be quantiﬁed by speciﬁc energy consumption (SEC) [5,15].
SEC is expressed by Equation (1). In addition to SEC, process material eﬃciency is evaluated using
suitable indicators such as recovery, productivity, etc. Material eﬃciency can be excluded when using
identical material inputs and outputs from the designed process in compared alternatives.",0,process
32,32,"Total production cost (TPC) can be used as an economic indicator. TPC is expressed by Equation (2);
total annual cost (TAC); total capital cost (TCC) and pay-back period are included. The price of the
equipment together with its installation represents the main part of TCC. TAC is composed of ﬁxed cost,
utility cost, and raw materials cost [33]. Product sales are dependent on the actual market situation
and therefore the price can be quite volatile. Consequently, the long-term average has to be considered.
The proﬁtability of the process is reﬂected in the payback period. Thus, the complex economy of the
process is considered via TPC. On the other hand, a detailed analysis of individual economic indicators
(TCC, TAC, utility cost, etc.) is needed to identify bottlenecks in the process.",0,process
33,33,Speciﬁc energy consumption (SEC) =,0,process
34,34,Total production cost (TPC) =,0,process
35,35,TAC,0,process
36,36,1.4. Safety Indicators,0,process
37,37,energy consumption (kW),0,process
38,38,−1(cid:17),0,process
39,39,mass of product (t),0,process
40,40,"(cid:16)
$ year
1.1 × mass of product (t year−1)",0,process
41,41,TCC ($),0,process
42,42,+,0,process
43,43,payback period (year),0,process
44,44,-1,0,process
45,45,-2,0,process
46,46,"Overall safety analysis in this work is based on the Chemical Process Quantitative Risk Analysis.
To evaluate and compare the safety aspects of the presented alternatives, the individual risk estimation
was performed for each case study. A large amount of frequency and consequence information
generated during quantitative process risk assessment must be integrated into a presentation that is
relatively easy to understand and use. The form of the presentation varies depending on the goal of the
analysis. As the main goal of the presented work is to evaluate process eﬃciency and to compare it with
other alternatives, the presentation of individual risk as a function of distance (individual risk proﬁles)
was chosen, which is a simpliﬁcation of the individual risk contour plot where two assumptions are
used: risk source is compact (i.e., well approximated by a point source), and distribution of risk is equal
in all directions. In the initials steps of conceptual design, the ﬁnal distribution of risk is unknown and
therefore the mentioned assumptions do not aﬀect ﬁnal results.",0,process
47,47,"Calculation of individual risk assumes that contributions of all incident outcome cases are
additive [34]. Thus, the total individual risk of fatality at geographical location x, y (IRx,y) is equal to
the sum of individual risks of fatality at geographical location x, y from incident outcome case i (IRx,y,i):",0,process
48,48,"IRx,y =",0,process
49,49,"IRx,y,i",0,process
50,50,-3,0,process
51,51,i=1,0,process
52,52,"where n is the total number of incident outcome cases considered in the analysis and each individual
risk of fatality from incident outcome case i (IRx,y,i) is obtained from the frequency of incident outcome
case i (fi) and the probability that incident outcome case i results in a fatality at location x, y (pf,i):",0,process
53,53,"IRx,y,i = fip f ,i = FIpo,ip f ,i",0,process
54,54,-4,0,process
55,55,"Calculation of frequency of incident outcome case i (fi) requires the evaluation of the frequency of
incident I (FI) and the incident outcome probability (po,i). To estimate incident frequencies, the Fault
Tree Analysis was used. Even Tree Analysis was used to quantitatively estimate the incident outcomes
probability [34].",0,process
56,56,n(cid:88),0,process
57,57,"Processes 2020, 8, 1618",0,process
58,58,2. Process Modeling,0,process
59,59,2.1. Thermodynamic Model,0,process
60,60,5 of 32,0,process
61,61,"A multicomponent model system is presented in this work. The basic model system contains ethyl
acetate (EtAc), ethanol (EtOH), water (H2O), and acetic acid (AA); one case study is extended by ethylene
oxide (EO) and monoethylene glycol (MEG). This system is strongly non-ideal. Two homogeneous
binary azeotropes (EtOH–H2O, EtOH–EtAc), one heterogeneous binary azeotrope (EtAc–H2O),
and one homogeneous ternary azeotrope (EtAc–EtOH–H2O) are reported in the literature [35,36]
and databases [26]. Despite acetic acid forming no azeotropic mixture with other participating
compounds, it is known for its strong association in the vapor phase and the formation of dimers [37].
Monoethylene glycol does not form an azeotropic mixture with other mentioned components.
Unlike other components, ethylene oxide is a gas at room temperature [38]. For such a system,
the NRTL-HOC thermodynamic model is highly recommended [15,22,28] as it is capable of calculating
the VLLE (vapor–liquid–liquid phase equilibria) correctly including two liquid phases, azeotropic
mixtures composition, and boing points, dimerization in the vapor phase. All the above-mentioned
papers have shown simulation results to be in good agreement with experiment data. Moreover,
reliable parameters for the NRTL-HOC model can be obtained from available databases (Aspen Plus [26],
DECHEMA, NIST).",0,process
62,62,2.2. Kinetic Model,0,process
63,63,"Mechanism and reaction kinetics of the esteriﬁcation reaction of ethanol and acetic acid in the
presence of acid catalysts has been studied in many works [1,39,40]. Three types of catalysis have
been reported: autocatalysis, homogeneous catalysis, and heterogeneous catalysis. The reaction rate
is low and achievable conversion is up to 20% at high residence times in the case of autocatalysis
reaction [39]. Strong mineral acids, such as sulfuric acid and hydrochloric acid, are traditionally used
as homogeneous catalysts [15]. High conversion, of up to 65.5%, is achieved in industrial applications
using sulfuric acid [1] in the range from 0.2 to 1.0 volume percent of the reactive mixture [15,23].
Acidic ion exchange resins in various forms have been used as heterogeneous catalysts to increase
conversion (slightly below 70%); however, no solid heterogeneous catalyst has been found to increase
the reaction rate in favor of ethyl acetate production better than sulfuric acid [15]. High reaction rate,
high conversion, and a smaller amount of catalyst are preferred from the industrial point of view.
In addition, process set-up and equipment design are much easier in the case of homogeneous catalysis.
On the other hand, equipment corrosion and catalyst recycling are major drawbacks of homogeneous
catalysis with sulfuric acid.",0,process
64,64,−3 s,0,process
65,65,"In this work, homogeneous catalysis using sulfuric acid was assumed, Equation (5). The reaction
−1]) is expressed by Equation (6), which has been used in works [23,40]. The reaction
rate (r [kmol m
−3]) are used. The concentration
occurs in the liquid phase; liquid phase molar concentrations (C [kmol m
of sulfuric acid catalyst was low [15,25], so its presence in the phase equilibria calculation was neglected.
As it was mentioned, an auxiliary chemical reaction was included to enhance the reactive
distillation process in the last case study. This auxiliary reaction was chosen to ensure the removal
of the main esteriﬁcation reaction by-product—water. Ethylene oxide (EO) hydration was used,
Equation (7). Monoethylene glycol (MEG) is produced as the main product of the auxiliary reaction.
Further reactions towards higher glycols (diethylene glycol, triethylene glycol) were omitted because of
lower reaction rate and negligible change in the composition of product streams [23,38,41]. The auxiliary
reaction rate is expressed by Equation (8) [23,41].",0,process
66,66,-5,0,process
67,67,"Processes 2020, 8, 1618",0,process
68,68,r1 = 2.8 × 104 exp,0,process
69,69,"(cid:18)−41, 868",0,process
70,70,RT,0,process
71,71,"(cid:19)
CAACEtOH − 7.1 × 103 exp",0,process
72,72,"(cid:18)−41, 868",0,process
73,73,RT,0,process
74,74,r2 = 3.15 × 1012 exp,0,process
75,75,"(cid:18)−79, 374",0,process
76,76,RT,0,process
77,77,(cid:19),0,process
78,78,CEOCH2O,0,process
79,79,(cid:19),0,process
80,80,CH2OCEtAc,0,process
81,81,6 of 32,0,process
82,82,-6,0,process
83,83,-7,0,process
84,84,-8,0,process
85,85,2.3. Equipment Model,0,process
86,86,"Aspen Plus V10 simulation environment provides several options to compile a process model.
In this work, three main types of equipment models were used: chemical reactor, heat exchanger,
and distillation column/reactive distillation column.",0,process
87,87,"A chemical reactor is simulated by a model of continuous stirred tank reactor (CSTR) which
assumes ideal mixing along with rate-controlled chemical reaction based on known kinetics. The reactor
can be operated as an isothermal as well as an adiabatic one. The residence time parameter was used
to achieve the desired conversion. Valid phases (liquid, vapor, vapor–liquid) for the chemical reaction
were speciﬁed; in case of esteriﬁcation (5), the chemical reaction rate is expressed by Equation (6) and
takes place only in the liquid phase.",0,process
88,88,"Heat exchangers were simulated by the Heater and HeatX models, respectively. A shortcut set-up
was applied to reach the desired stream temperature. Heat integration was applied to improve the
optimal process design. The minimum stream temperature diﬀerence was set to 10",0,process
89,89,C.,0,process
90,90,◦,0,process
91,91,"A Rigorous RadFrac column model was used for RD modeling as well as for conventional
distillation. This model allows both EQ and NEQ approaches. Building an NEQ model of reactive
separation or separation is not as straightforward as it is in the EQ model. The NEQ model requires
much more reliable parameters compared to the EQ model. Consequently, the NEQ model is more
diﬃcult to calculate and convergence problems often occur. To improve NEQ model convergence,
a good initial guess of stage temperature, liquid phase composition, and vapor phase composition have
to be used. For this purpose, the EQ model of each column was made in the ﬁrst step of the simulation
using initial column parameters such as the number of theoretical stages (N), reactive zone (NR),
feed stage position (f ), reﬂux ratio (R). These parameters can be found in the literature [5,15]. Results of
the EQ model simulation provide a very good starting point for building the NEQ model [19,27].
Another advantage of ﬁrst building the EQ model is the possibility of faster testing of individual case
studies [28]. When the suitable case study concept is selected, the NEQ model is built based on the EQ
model results.",0,process
92,92,"Rate-based set-up must be enabled in the Aspen Plus [26] in the NEQ model. Therefore,
detailed column internal conﬁguration is required next. A packed column is selected similarly
to simulation-experimental works [22,28]. Mass and heat transfer correlation methods were selected
according to the recommendation for the packing type (Rashing Ralu-Ring). Column hydraulics
was simulated by Aspen Plus built-in hydraulic function assuming correlation for Rashing
Ralu-Ring packing type. Column internal conﬁguration (internal diameter (d), packing height
(H), packing dimensions) were set during the calculation procedure with regard to reasonable column
hydraulics, pressure drop, and approach to ﬂood.",0,process
93,93,"In the case of an RD column, the chemical reaction rate is expressed by Equations (6) and (8).
A homogeneous catalyst (sulfuric acid) is fed to the column together with acetic acid [17,23].
The esteriﬁcation reaction (5) is enabled in the reactive zone (NR) only, where acetic acid is presented.
On the other hand, the hydration reaction (7) is enabled in the whole RD column because ethylene
oxide reacts with water whenever they meet in the liquid phase. All the above-mentioned column
parameters (N, NR, f, R, d, H . . . ) were optimized to meet the design criteria of individual columns as
well as of the whole process.",0,process
94,94,"Processes 2020, 8, 1618",0,process
95,95,7 of 32,0,process
96,96,2.4. Simulation Strategy and Design Speciﬁcation,0,process
97,97,Global simulation strategy is focused on minimizing the number of process units within maximal,0,process
98,98,raw material utilization and minimal energy consumption.,0,process
99,99,"The separation sequence is designed to separate the component with the highest boiling point
(or to consume it by a reaction); solve energy-intensive separation (azeotropic distillation, decanter with
recirculation), and to regenerate other process streams (EtAc aqueous solutions). Process integration
and intensiﬁcation were based on a conventional process case study. Other case studies (RD column
with a separation unit, RD column with a stripper, and RD column with an auxiliary reaction) were
derived from the base one. Also, heat integration was considered in all case studies.",0,process
100,100,"input (10 kmol h
25",0,process
101,101,◦,0,process
102,102,"C; atmospheric pressure.
Process design speciﬁcations were deﬁned to produce 10 kmol h",0,process
103,103,"The following initial input speciﬁcations were entered for all case studies: equimolar raw material
−1 of both ethanol and acetic acid); process inlet and outlet streams temperature of
−1 of pure ethyl acetate (99.9 mol.%),
prevent ethyl acetate loss in other product streams (full EtAc recovery), separate process by-products
(water or monoethylene glycol) in equimolar ratio to the main product (EtAc). Moreover, the total
conversion of all reactants was attempted. Process parameters were optimized while maintaining
ﬁxed design speciﬁcations. The optimization was based on minimizing vapor ﬂows in the individual
columns. Subsequently, the economy and safety parameters were evaluated.",0,process
104,104,3. Simulation Results,0,process
105,105,3.1. Conventional Process Set-Up,0,process
106,106,"Most ethyl acetate production plants apply the process described by Riemenschneider (2008) [1,17]
which consists of a continuous stirred tank reactor (CSTR) and several separation columns. Even though
the capacity of large plants can be up to about 100,000 tons of EtAc per year [2], this process is problematic
and ineﬃcient for several reasons [15], separation of the reaction mixture from the CSTR reactor
being the main problem. As is mentioned in Section 2.1, the azeotropic mixture is formed during the
separation. Moreover, separation of unreacted acetic acid is an energy-intensive process, even in large
distillation columns. Overcoming the distillation boundary to produce pure EtAc is reported as the
next issue. A decanter is most often used for this purpose adding a certain amount of pure water to
obtain an organic (EtAc rich) and an aqueous phase. Losses of ethyl acetate in the aqueous phase
and the regeneration of used water have also to be solved. Thus, high recycle ﬂows and large energy
consumption of this process are inevitable.",0,process
107,107,3.1.1. Flowsheet Design (Figure 1),1,process
108,108,"The conventional set-up consists of four key equipment units. Esteriﬁcation reaction proceeds in
a CSTR reactor, which is followed by an azeotropic distillation column and two conventional columns.
Detailed ﬂowsheet with streams attachment is depicted in Figure 1. Raw material streams (AA0
and ETOH0) are mixed with recycled streams and lead to the adiabatic CSTR reactor (R1). As the
esteriﬁcation reaction conversion is slightly over 60%, the reaction mixture contains four compounds
(acetic acid, ethanol, water, and ethyl acetate). Reactor products stream (P1) is then preheated in heat
exchanger EX1. This mixture is separated in azeotropic distillation column C1 (Figure 1) which has
two feed streams: reaction mixture from the CSTR (P2) and pure ethyl acetate (AZ) used as azeotropic
distillation entrainer. The bottom product (W11) contains unreacted acetic acid and water, and it is
recycled back to the CSTR. The water-ethanol-ethyl acetate azeotropic mixture is obtained as a distillate
(D11). Pure water is added to overcome the distillation boundary and the mixture (D12) is cooled down
in heat exchanger EX2. The water phase (H2OL) and organic phase (ORG) are separated in decanter
DEC (Figure 1). The organic phase contains mainly ethyl acetate. Pure ethyl acetate is separated in
distillation column C2 as a bottom product (W21). A part of pure ethyl acetate ﬂow is recirculated
as the azeotropic entrainer (AZ) back to column C1. The ﬁnal product (W22) is cooled down in heat",1,process
109,109,"Processes 2020, 8, 1618",0,process
110,110,8 of 32,0,process
111,111,"exchanger EX7. The C2 column distillate (D21) contains a ternary mixture of water, ethanol, and ethyl
acetate; it is cooled down in C2 preheater EX3 and recirculated back to the decanter. The water phase
(H2OL) is rich in unreacted ethanol; thus, it is regenerated in distillation column C3 (Figure 1). The C3
column feed (F31) is preheated in two heat exchangers: EX4 and EX5. Pure water (W31) is obtained as
the C3 column bottom product and concentrated ethanol-water mixture is separated in distillate (D31)
which is cooled down in EX4 and recirculated back to the CSTR. The bottom product (W31) is cooled
down in EX5 and then divided into water ﬁnal product stream (H2OP1) and water for recirculation
back to the decanter (H2OREC)",1,process
112,112,3.1.2. Process Simulation Results & Equipment Parameters of Conventional Process Set-Up,1,process
113,113,Process simulation of the material balance of the conventional process depicted in Figure 1 is,1,process
114,114,"listed in Table 1. Energy and economy aspects are discussed in Sections 4.1 and 4.2, respectively.",0,process
115,115,"The CSTR (Figure 1) reactor is designed as an adiabatic one with a residence time of 200 min [15].
The esteriﬁcation reaction is described by reaction kinetics, Equation (6). Lower acetic acid conversion
is achieved compared to that reported in the literature (53.0% compared to 63.0%). This is caused by the
connection of recycled streams (D32, W12) in which, in addition to EtAc, water is present. Therefore,
conversion in the CSTR reactor is slightly shifted towards the reactants side. The volume of the liquid
phase in CSTR is calculated to be 8.9 m3.",1,process
116,116,"Separation of unreacted acetic acid is the primary function of the C1 column (Figure 1) employing
azeotropic distillation to make this process easier and less energy-intensive. No azeotropic agent
selection was done as a suitable agent (EtAc) is produced in the process directly. The ratio of recirculated
(AZ) and produced EtAc (W22) is set to 1. Such an amount of recirculated EtAc is suﬃcient to ensure
desired C1 column speciﬁcations at reasonable energy demands. If the ratio is below 0.8, azeotropic
distillation does not run. As EtAc forms a ternary azeotrope with water and ethanol at the lowest boiling
temperature in the system, separation of AA in the bottom product (W11) is possible. Total recovery of
AA in the bottom product (W11) is required (less than 0.001 mol.% of AA is allowed in the distillate
(D11)). The desired purity of AA (W11) was set to 70 mol.% based on recycle ﬂow (W11) and energy
consumption optimization. Consequently, the C1 column reboiler temperature was below 100
C.
Also, column hydraulics is an issue due to diﬀerent liquid ﬂows in the rectifying and stripping
section, which is caused by two feed streams and process intensiﬁcation via azeotropic distillation.
Therefore, two packing diameters (25 mm and 35 mm) are used within one column diameter (1.0 m).
Designed C1 column parameters are listed in Table 2.",1,process
117,117,◦,0,process
118,118,"The next important separation step takes place in the decanter. Water to ethyl acetate mole ﬂow
ratio in the stream (D13) is a crucial parameter of the decanter in overcoming the distillation boundary
and thus allowing separation of pure EtAc. The ratio was set to 4.1 and therefore the EtAc concentration
increased from 56.6 mol.% (D11) to 76.7 mol.% (ORG), Table 1. EtAc recovery in the decanter of over
90% was achieved, which is common in the separation of two liquid phases [5,22].",1,process
119,119,"Distillation column C2 (Figure 1) is designed for pure EtAc (99.9 mol.%) separation, which is
a highly energy consuming process as EtAc–EtOH–water ternary azeotrope is formed in the distillate
−1 of pure EtAc in the
(D21) and it has to be recirculated back to the decanter. To obtain 20 kmol h
−1 of organic phase ﬂow (ORG) from the decanter is
C2 bottom product (W21), more than 41 kmol h
needed and thus only 63.2% EtAc recovery can be achieved in the C2 column due to the distillation
boundary and the azeotrope composition. A high reﬂux ratio is also required because the ternary
azeotrope and pure ethyl acetate boiling point temperature are close. Designed C2 column parameters
are listed in Table 2.",1,process
120,120,"Processes 2020, 8, 1618",0,process
121,121,9 of 32,0,process
122,122,Figure 1. Ethyl acetate production via conventional process set-up.,1,process
123,123,"Processes 2020, 8, 1618",0,process
124,124,10 of 32,0,process
125,125,Table 1. Material balance of designed conventional process set-up (Figure 1).,0,process
126,126,ETOH0,0,process
127,127,F11,0,process
128,128,F21,0,process
129,129,R1,0,process
130,130,P1,0,process
131,131,P2,0,process
132,132,10,0,process
133,133,22.64,0,process
134,134,-,0,process
135,135,"0.8325
0.1673
0.0002
39.64
101.3
1.44",0,process
136,136,"19.88
0.0869",0,process
137,137,-,0,process
138,138,"0.1301
0.7830
29.38
101.3
1.19",0,process
139,139,"42.52
0.0407
0.4433
0.1499
0.3662
36.98
101.3
2.65",0,process
140,140,"42.52
0.2756
0.2083
0.3848
0.1312
39.01
101.3
2.66",0,process
141,141,"42.52
0.2756
0.2083
0.3848
0.1312
54.24
101.3
2.72",0,process
142,142,−1],0,process
143,143,"˙n [kmol h
xH2O
xAA
xEtAc
xEtOH
◦
T [
C]
P [kPa]
.
V [m3 h",0,process
144,144,−1],0,process
145,145,−1],0,process
146,146,"˙n [kmol h
xH2O
xAA
xEtAc
xEtOH
◦
T [
C]
P [kPa]
.
V [m3 h",0,process
147,147,−1],0,process
148,148,AA0,0,process
149,149,10,0,process
150,150,-,0,process
151,151,1,0,process
152,152,"-
-",0,process
153,153,"25.00
101.3
0.56",0,process
154,154,W22,0,process
155,155,"10.00
0.0003",0,process
156,156,-,0,process
157,157,"0.9990
0.0007
76.83
101.3
1.06",0,process
158,158,"-
-
-",0,process
159,159,"1.0000
25.00
101.3
0.58",0,process
160,160,W23,0,process
161,161,"10.00
0.0003",0,process
162,162,-,0,process
163,163,"0.9990
0.0007
25.00
101.3
0.98",0,process
164,164,W11,0,process
165,165,12.65,0,process
166,166,-,0,process
167,167,"0.7000
0.2996
0.0004
98.20
101.3
0.95",0,process
168,168,W12,0,process
169,169,12.65,0,process
170,170,-,0,process
171,171,"0.7000
0.2996
0.0004
49.01
101.3
0.88",0,process
172,172,D11,0,process
173,173,D12,0,process
174,174,D13,0,process
175,175,"39.86
0.2940",0,process
176,176,-,0,process
177,177,"0.5660
0.1400
70.02
101.3
2.90",0,process
178,178,"187.78
0.7608",0,process
179,179,-,0,process
180,180,"0.1856
0.0536
48.97
101.3
6.71",0,process
181,181,"187.78
0.7608",0,process
182,182,-,0,process
183,183,"0.1856
0.0536
25.00
101.3
6.50",0,process
184,184,ORG,0,process
185,185,"41.21
0.1604",0,process
186,186,-,0,process
187,187,"0.7672
0.0724
25.00
101.3
3.37",0,process
